CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"2,073.50",-,"1,500","2,454.80","2,602.75","1,500","14,950.00",100,0.20,0.25,350,-0.40,0.20,96.88,"1,955",172,"1,439",
,3,-,-,-,"2,283.20",-,"1,500","2,484.70","2,556.05","1,500","15,000.00","3,04,050",0.15,0.20,"28,900",-0.50,0.15,92.84,"72,248","-3,781","25,560",
,-,-,-,-,-,-,"1,500","2,428.20","2,510.50","1,500","15,050.00","8,350",0.20,0.70,300,-0.45,0.20,93.10,150,17,194,
,-,-,-,-,-,-,"1,500","2,314.85","2,450.10","1,500","15,100.00",50,0.25,0.30,"3,650",-0.50,0.25,92.91,"1,290",-,"1,231",
,-,-,-,-,-,-,"1,500","2,268.35","2,410.40","1,500","15,150.00","13,750",0.20,0.45,850,-0.60,0.20,89.34,"1,649",19,357,
,1,-,1,187.99,"2,370.00",300.00,"4,250","2,151.25","2,370.75","1,500","15,200.00","14,250",0.20,0.40,500,-0.70,0.20,87.46,"2,108",-85,"2,025",
,-,-,-,-,-,-,"4,250","2,100.50","2,304.40","1,500","15,250.00","14,000",0.20,0.65,500,-0.80,0.40,90.85,323,-61,167,
,-,-,-,-,-,-,"1,500","2,120.45","2,255.10","1,500","15,300.00","2,750",0.35,0.55,300,-0.60,0.35,87.82,"15,971","-4,327","2,666",
,-,-,-,-,-,-,"1,500","2,135.35","2,208.85","1,500","15,350.00",950,0.30,0.60,350,-0.60,0.30,84.72,"1,408",28,161,
,1,-,1,193.62,"2,196.95",210.45,"1,000","1,695.15","2,155.95","1,500","15,400.00",300,0.65,0.75,650,-0.35,0.65,88.95,"6,861","-2,120","5,277",
,-,-,-,-,-,-,"1,500","1,980.80","2,116.45","1,500","15,450.00",250,0.50,0.80,450,-0.40,0.55,85.51,522,-34,85,
,5,-,-,-,"1,544.55",-,150,"2,007.40","2,029.95",150,"15,500.00","1,600",0.55,0.60,600,-0.50,0.55,83.51,"65,282","-12,031","37,290",
,-,-,-,-,-,-,"1,500","1,868.05","2,015.30","1,500","15,550.00",500,0.35,0.75,200,-0.45,0.50,80.76,281,34,314,
,-,-,-,-,-,-,"1,500","1,881.15","1,951.15","1,500","15,600.00","1,900",0.70,0.85,"1,400",-0.40,0.70,81.42,"5,150",48,"4,585",
,-,-,-,-,-,-,"1,500","1,787.50","1,906.95","1,500","15,650.00",150,0.50,0.85,200,-0.60,0.45,76.03,"1,347",2,173,
,1,-,-,-,"1,605.00",-,"1,500","1,781.15","1,850.95","1,500","15,700.00",100,0.65,1.10,"2,650",-0.40,0.60,76.17,"7,179","-3,392","3,036",
,-,-,-,-,-,-,"1,500","1,679.10","1,815.95","2,500","15,750.00","2,800",0.50,0.85,500,-0.40,0.65,74.76,330,-49,544,
